#F SpaceGroups.dat
#UT Space Groups: General Positions of the 230 Space Groups
#D Wed Feb 28 17:08:47 CET 2007
#UD  
#UD Space Groups: General Positions of the 230 Space Groups
#UD  
#UD This file contains the General Positions of the Space Groups
#UD  
#UD  
#UD  Reference: group list and tables are obtained from: 
#UD  http://www.cryst.ehu.es/   (GENPOS application)
#UD  
#UD The Scan Number corresponts to the groups number as given in the
#UD International Tables for Crystallography, Vol. A
#UD 
#UD The scan name is the Hermann-Mauguin name. No blanks are 
#UD placed in between characters. Subscript are represented by
#UD preceding the character by an underscore. 
#UD 
#UD Some groups are duplicated, depending on the axis selection
#UD
#UD The general positions in text form (e.g., x+1/2,y+1/2,z) are
#UD placed following the USYMOPER keyword
#UD
#UD The scan data contains 4 columns: 
#UD Col 1 is the operation index
#UD Col 2 is the 1st column of the rotation matrix
#UD Col 3 is the 2nd column of the rotation matrix
#UD Col 4 is the 3rd column of the rotation matrix
#UD Col 5 is the translation vector.
#UD
#UD For Example: Group number 2 (P-1) has two general positions: 
#UD See http://www.cryst.ehu.es/cgi-bin/cryst/programs/nph-getgen?list=show&what=gp&gnum=2
#UD
#UD
#UD                    | 1  0  0   0|
#UD   1)     x,y,z     | 0  1  0   0|
#UD                    | 0  0  1   0|
#UD
#UD                    | -1  0 0   0|
#UD   2)     -x,-y,-z  | 0 -1  0   0|
#UD                    | 0  0 -1   0|
#UD
#UD Therefore, the data in scan 2 is:                              
#UD          0 1 0 0 0   \                             
      2.00000      1.00000      0.00000      0.00000     0.500000
      2.00000      0.00000      1.00000      0.00000     0.500000
       2       0       0       1       0
      3.00000      1.00000      0.00000      0.00000     0.500000
      3.00000      0.00000     -1.00000      0.00000     0.500000
       3       0       0       1       0
#S  8      Cm:unique axis c      
#USYMOPER  x,y,z 
#USYMOPER  x,y,-z 
#USYMOPER  x,y+1/2,z+1/2 
#USYMOPER  x,y+1/2,-z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1       1       0       0       0
       1       0       1       0       0
       1       0       0      -1       0
       2       1       0       0       0
      2.00000      0.00000      1.00000      0.00000     0.500000
      2.00000      0.00000      0.00000      1.00000     0.500000
       3       1       0       0       0
      3.00000      0.00000      1.00000      0.00000     0.500000
      3.00000      0.00000      0.00000     -1.00000     0.500000
#S  9      Cc:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  x,-y,z+1/2 
#USYMOPER  x+1/2,y+1/2,z 
#USYMOPER  x+1/2,-y+1/2,z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1       1       0       0       0
       1       0      -1       0       0
      1.00000      0.00000      0.00000      1.00000     0.500000
      2.00000      1.00000      0.00000      0.00000     0.500000
      2.00000      0.00000      1.00000      0.00000     0.500000
       2       0       0       1       0
      3.00000      1.00000      0.00000      0.00000     0.500000
      3.00000      0.00000     -1.00000      0.00000     0.500000
      3.00000      0.00000      0.00000      1.00000     0.500000
#S  9      Cc:unique axis c
#USYMOPER  x,y,z 
#USYMOPER  x+1/2,y,-z 
#USYMOPER  x,y+1/2,z+1/2 
#USYMOPER  x+1/2,y+1/2,-z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
      1.00000      1.00000      0.00000      0.00000     0.500000
       1       0       1       0       0
       1       0       0      -1       0
       2       1       0       0       0
      2.00000      0.00000      1.00000      0.00000     0.500000
      2.00000      0.00000      0.00000      1.00000     0.500000
      3.00000      1.00000      0.00000      0.00000     0.500000
      3.00000      0.00000      1.00000      0.00000     0.500000
      3.00000      0.00000      0.00000     -1.00000     0.500000
#S  10     P2/m:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  -x,y,-z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,-y,z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0       1       0       0
       1       0       0      -1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0       1       0
#S  10     P2/m:unique axis c      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,y,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0       1       0       0
       3       0       0      -1       0
#S  11     P2_1/m:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  -x,y+1/2,-z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,-y+1/2,z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
      1.00000      0.00000      1.00000      0.00000     0.500000
       1       0       0      -1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
      3.00000      0.00000     -1.00000      0.00000     0.500000
       3       0       0       1       0
#S  11     P2_1/m:unique axis c      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z+1/2 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,y,-z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
      1.00000      0.00000      0.00000      1.00000     0.500000
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0       1       0       0
      3.00000      0.00000      0.00000     -1.00000     0.500000
#S  12     C2/m:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  -x,y,-z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,-y,z 
#USYMOPER  x+1/2,y+1/2,z 
#USYMOPER  -x+1/2,y+1/2,-z 
#USYMOPER  -x+1/2,-y+1/2,-z 
#USYMOPER  x+1/2,-y+1/2,z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0       1       0       0
       1       0       0      -1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0       1       0
      4.00000      1.00000      0.00000      0.00000     0.500000
      4.00000      0.00000      1.00000      0.00000     0.500000
       4       0       0       1       0
      5.00000     -1.00000      0.00000      0.00000     0.500000
      5.00000      0.00000      1.00000      0.00000     0.500000
       5       0       0      -1       0
      6.00000     -1.00000      0.00000      0.00000     0.500000
      6.00000      0.00000     -1.00000      0.00000     0.500000
       6       0       0      -1       0
      7.00000      1.00000      0.00000      0.00000     0.500000
      7.00000      0.00000     -1.00000      0.00000     0.500000
       7       0       0       1       0
#S  12     C2/m:unique axis c
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,y,-z 
#USYMOPER  x,y+1/2,z+1/2 
#USYMOPER  -x,-y+1/2,z+1/2 
#USYMOPER  -x,-y+1/2,-z+1/2 
#USYMOPER  x,y+1/2,-z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0       1       0       0
       3       0       0      -1       0
       4       1       0       0       0
      4.00000      0.00000      1.00000      0.00000     0.500000
      4.00000      0.00000      0.00000      1.00000     0.500000
       5      -1       0       0       0
      5.00000      0.00000     -1.00000      0.00000     0.500000
      5.00000      0.00000      0.00000      1.00000     0.500000
       6      -1       0       0       0
      6.00000      0.00000     -1.00000      0.00000     0.500000
      6.00000      0.00000      0.00000     -1.00000     0.500000
       7       1       0       0       0
      7.00000      0.00000      1.00000      0.00000     0.500000
      7.00000      0.00000      0.00000     -1.00000     0.500000
#S  13     P2/c:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  -x,y,-z+1/2 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,-y,z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0       1       0       0
      1.00000      0.00000      0.00000     -1.00000     0.500000
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
      3.00000      0.00000      0.00000      1.00000     0.500000
#S  13     P2/c:unique axis c      
#USYMOPER  x,y,z 
#USYMOPER  -x+1/2,-y,z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x+1/2,y,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
      1.00000     -1.00000      0.00000      0.00000     0.500000
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
      3.00000      1.00000      0.00000      0.00000     0.500000
       3       0       1       0       0
       3       0       0      -1       0
#S  14     P2_1/c:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  -x,y+1/2,-z+1/2 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,-y+1/2,z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
      1.00000      0.00000      1.00000      0.00000     0.500000
      1.00000      0.00000      0.00000     -1.00000     0.500000
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
      3.00000      0.00000     -1.00000      0.00000     0.500000
      3.00000      0.00000      0.00000      1.00000     0.500000
#S  14     P2_1/c:unique axis c      
#USYMOPER  x,y,z 
#USYMOPER  -x+1/2,-y,z+1/2 
#USYMOPER  -x,-y,-z 
#USYMOPER  x+1/2,y,-z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
      1.00000     -1.00000      0.00000      0.00000     0.500000
       1       0      -1       0       0
      1.00000      0.00000      0.00000      1.00000     0.500000
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
      3.00000      1.00000      0.00000      0.00000     0.500000
       3       0       1       0       0
      3.00000      0.00000      0.00000     -1.00000     0.500000
#S  15     C2/c:unique axis b
#USYMOPER  x,y,z 
#USYMOPER  -x,y,-z+1/2 
#USYMOPER  -x,-y,-z 
#USYMOPER  x,-y,z+1/2 
#USYMOPER  x+1/2,y+1/2,z 
#USYMOPER  -x+1/2,y+1/2,-z+1/2 
#USYMOPER  -x+1/2,-y+1/2,-z 
#USYMOPER  x+1/2,-y+1/2,z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0       1       0       0
      1.00000      0.00000      0.00000     -1.00000     0.500000
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
      3.00000      0.00000      0.00000      1.00000     0.500000
      4.00000      1.00000      0.00000      0.00000     0.500000
      4.00000      0.00000      1.00000      0.00000     0.500000
       4       0       0       1       0
      5.00000     -1.00000      0.00000      0.00000     0.500000
      5.00000      0.00000      1.00000      0.00000     0.500000
      5.00000      0.00000      0.00000     -1.00000     0.500000
      6.00000     -1.00000      0.00000      0.00000     0.500000
      6.00000      0.00000     -1.00000      0.00000     0.500000
       6       0       0      -1       0
      7.00000      1.00000      0.00000      0.00000     0.500000
      7.00000      0.00000     -1.00000      0.00000     0.500000
      7.00000      0.00000      0.00000      1.00000     0.500000
#S  15     C2/c:unique axis c
#USYMOPER  x,y,z 
#USYMOPER  -x+1/2,-y,z 
#USYMOPER  -x,-y,-z 
#USYMOPER  x+1/2,y,-z 
#USYMOPER  x,y+1/2,z+1/2 
#USYMOPER  -x+1/2,-y+1/2,z+1/2 
#USYMOPER  -x,-y+1/2,-z+1/2 
#USYMOPER  x+1/2,y+1/2,-z+1/2 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
      1.00000     -1.00000      0.00000      0.00000     0.500000
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0      -1       0       0
       2       0       0      -1       0
      3.00000      1.00000      0.00000      0.00000     0.500000
       3       0       1       0       0
       3       0       0      -1       0
       4       1       0       0       0
      4.00000      0.00000      1.00000      0.00000     0.500000
      4.00000      0.00000      0.00000      1.00000     0.500000
      5.00000     -1.00000      0.00000      0.00000     0.500000
      5.00000      0.00000     -1.00000      0.00000     0.500000
      5.00000      0.00000      0.00000      1.00000     0.500000
       6      -1       0       0       0
      6.00000      0.00000     -1.00000      0.00000     0.500000
      6.00000      0.00000      0.00000     -1.00000     0.500000
      7.00000      1.00000      0.00000      0.00000     0.500000
      7.00000      0.00000      1.00000      0.00000     0.500000
      7.00000      0.00000      0.00000     -1.00000     0.500000
#S  16     P222      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x,y,-z 
#USYMOPER  x,-y,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0       1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0      -1       0
#S  17     P222_1      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z+1/2 
#USYMOPER  -x,y,-z+1/2 
#USYMOPER  x,-y,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
      1.00000      0.00000      0.00000      1.00000     0.500000
       2      -1       0       0       0
       2       0       1       0       0
      2.00000      0.00000      0.00000     -1.00000     0.500000
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0      -1       0
#S  18     P2_12_12
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x+1/2,y+1/2,-z 
#USYMOPER  x+1/2,-y+1/2,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
       1       0       0       1       0
      2.00000     -1.00000      0.00000      0.00000     0.500000
      2.00000      0.00000      1.00000      0.00000     0.500000
       2       0       0      -1       0
      3.00000      1.00000      0.00000      0.00000     0.500000
      3.00000      0.00000     -1.00000      0.00000     0.500000
       3       0       0      -1       0
#S  19     P2_12_12_1      
#USYMOPER  x,y,z 
#USYMOPER  -x+1/2,-y,z+1/2 
#USYMOPER  -x,y+1/2,-z+1/2 
#USYMOPER  x+1/2,-y+1/2,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
      1.00000     -1.00000      0.00000      0.00000     0.500000
       1       0      -1       0       0
      1.00000      0.00000      0.00000      1.00000     0.500000
       2      -1       0       0       0
      2.00000      0.00000      1.00000      0.00000     0.500000
      2.00000      0.00000      0.00000     -1.00000     0.500000
      3.00000      1.00000      0.00000      0.00000     0.500000
      3.00000      0.00000     -1.00000      0.00000     0.500000
       3       0       0      -1       0
#S  20     C222_1      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z+1/2 
#USYMOPER  -x,y,-z+1/2 
#USYMOPER  x,-y,-z 
#USYMOPER  x+1/2,y+1/2,z 
#USYMOPER  -x+1/2,-y+1/2,z+1/2 
#USYMOPER  -x+1/2,y+1/2,-z+1/2 
#USYMOPER  x+1/2,-y+1/2,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
      1.00000      0.00000      0.00000      1.00000     0.500000
       2      -1       0       0       0
       2       0       1       0       0
      2.00000      0.00000      0.00000     -1.00000     0.500000
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0      -1       0
      4.00000      1.00000      0.00000      0.00000     0.500000
      4.00000      0.00000      1.00000      0.00000     0.500000
       4       0       0       1       0
      5.00000     -1.00000      0.00000      0.00000     0.500000
      5.00000      0.00000     -1.00000      0.00000     0.500000
      5.00000      0.00000      0.00000      1.00000     0.500000
      6.00000     -1.00000      0.00000      0.00000     0.500000
      6.00000      0.00000      1.00000      0.00000     0.500000
      6.00000      0.00000      0.00000     -1.00000     0.500000
      7.00000      1.00000      0.00000      0.00000     0.500000
      7.00000      0.00000     -1.00000      0.00000     0.500000
       7       0       0      -1       0
#S  21     C222
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x,y,-z 
#USYMOPER  x,-y,-z 
#USYMOPER  x+1/2,y+1/2,z 
#USYMOPER  -x+1/2,-y+1/2,z 
#USYMOPER  -x+1/2,y+1/2,-z 
#USYMOPER  x+1/2,-y+1/2,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0       1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0      -1       0
      4.00000      1.00000      0.00000      0.00000     0.500000
      4.00000      0.00000      1.00000      0.00000     0.500000
       4       0       0       1       0
      5.00000     -1.00000      0.00000      0.00000     0.500000
      5.00000      0.00000     -1.00000      0.00000     0.500000
       5       0       0       1       0
      6.00000     -1.00000      0.00000      0.00000     0.500000
      6.00000      0.00000      1.00000      0.00000     0.500000
       6       0       0      -1       0
      7.00000      1.00000      0.00000      0.00000     0.500000
      7.00000      0.00000     -1.00000      0.00000     0.500000
       7       0       0      -1       0
#S  22     F222      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x,y,-z 
#USYMOPER  x,-y,-z 
#USYMOPER  x,y+1/2,z+1/2 
#USYMOPER  -x,-y+1/2,z+1/2 
#USYMOPER  -x,y+1/2,-z+1/2 
#USYMOPER  x,-y+1/2,-z+1/2 
#USYMOPER  x+1/2,y,z+1/2 
#USYMOPER  -x+1/2,-y,z+1/2 
#USYMOPER  -x+1/2,y,-z+1/2 
#USYMOPER  x+1/2,-y,-z+1/2 
#USYMOPER  x+1/2,y+1/2,z 
#USYMOPER  -x+1/2,-y+1/2,z 
#USYMOPER  -x+1/2,y+1/2,-z 
#USYMOPER  x+1/2,-y+1/2,-z 
#N 5
#L index  rotCol1  rotCol2  rotCol3  Trans
       0       1       0       0       0
       0       0       1       0       0
       0       0       0       1       0
       1      -1       0       0       0
       1       0      -1       0       0
       1       0       0       1       0
       2      -1       0       0       0
       2       0       1       0       0
       2       0       0      -1       0
       3       1       0       0       0
       3       0      -1       0       0
       3       0       0      -1       0
       4       1       0       0       0
      4.00000      0.00000      1.00000      0.00000     0.500000
      4.00000      0.00000      0.00000      1.00000     0.500000
       5      -1       0       0       0
      5.00000      0.00000     -1.00000      0.00000     0.500000
      5.00000      0.00000      0.00000      1.00000     0.500000
       6      -1       0       0       0
      6.00000      0.00000      1.00000      0.00000     0.500000
      6.00000      0.00000      0.00000     -1.00000     0.500000
       7       1       0       0       0
      7.00000      0.00000     -1.00000      0.00000     0.500000
      7.00000      0.00000      0.00000     -1.00000     0.500000
      8.00000      1.00000      0.00000      0.00000     0.500000
       8       0       1       0       0
      8.00000      0.00000      0.00000      1.00000     0.500000
      9.00000     -1.00000      0.00000      0.00000     0.500000
       9       0      -1       0       0
      9.00000      0.00000      0.00000      1.00000     0.500000
      10.0000     -1.00000      0.00000      0.00000     0.500000
      10       0       1       0       0
      10.0000      0.00000      0.00000     -1.00000     0.500000
      11.0000      1.00000      0.00000      0.00000     0.500000
      11       0      -1       0       0
      11.0000      0.00000      0.00000     -1.00000     0.500000
      12.0000      1.00000      0.00000      0.00000     0.500000
      12.0000      0.00000      1.00000      0.00000     0.500000
      12       0       0       1       0
      13.0000     -1.00000      0.00000      0.00000     0.500000
      13.0000      0.00000     -1.00000      0.00000     0.500000
      13       0       0       1       0
      14.0000     -1.00000      0.00000      0.00000     0.500000
      14.0000      0.00000      1.00000      0.00000     0.500000
      14       0       0      -1       0
      15.0000      1.00000      0.00000      0.00000     0.500000
      15.0000      0.00000     -1.00000      0.00000     0.500000
      15       0       0      -1       0
#S  23     I222      
#USYMOPER  x,y,z 
#USYMOPER  -x,-y,z 
#USYMOPER  -x,y,-z 
#USYMOPER  x,-y,-z 
#USYMOPER  x+1/2,y+1/2,z+1/2 
#USYMOPER  -x+1/2,-y+1/2,z+1/2 
#USYMOPER  -x+1/2,y+1/2,-z+1/2 
#USYMOPER  x+1/2,-y+1/2,-z+1/2 
#N 5
